trans_time,merchant,category,amt,City,state,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
12:00 AM,"Heller, Gutmann and Zieme",grocery,107.23 ,Orient,WA,48.8878,-118.2105,149,Special educational needs teacher,6/21/1978,1f76529f8574734946361c461b024d99,49.159047,-118.186462,0
12:00 AM,Lind-Buckridge,entertainment,220.11 ,Malad City,ID,42.1808,-112.262,4154,Nature conservation officer,1/19/1962,a1a22d70485983eac12b5b88dad1cf95,43.150704,-112.154481,0
12:07 AM,Kiehn Inc,grocery,96.29 ,Grenada,CA,41.6125,-122.5258,589,Systems analyst,12/21/1945,413636e759663f264aae1819a4d4f231,41.65752,-122.230347,0
12:09 AM,Beier-Hyatt,shopping,7.77 ,High Rolls Mountain Park,NM,32.9396,-105.8189,899,Naval architect,8/30/1967,8a6293af5ed278dea14448ded2685fea,32.863258,-106.520205,0
12:21 AM,Bruen-Yost,misc,6.85 ,Freedom,WY,43.0172,-111.0292,471,Education officer  museum,8/2/1967,f3c43d336e92a44fc2fb67058d5949e3,43.753735,-111.454923,0
12:22 AM,Kunze Inc,grocery,90.22 ,Honokaa,HI,20.0827,-155.488,4878,Physiotherapist,12/3/1966,95826e3caa9e0b905294c6dae985aec1,19.560013,-156.045889,0
12:22 AM,"Nitzsche, Kessler and Wol",shopping,4.02 ,Valentine,NE,42.8062,-100.6215,4005,Network engineer,3/15/1945,20490f3f0966ce74b4aaba8dc2c4ed52,42.47559,-101.265846,0
12:22 AM,"Kihn, Abernathy and Douglas",shopping,3.66 ,Westfir,OR,43.7575,-122.481,597,Forensic psychologist,5/19/1961,870c92b288a974a2faf1f24b05c27e33,44.278191,-121.815161,0
12:31 AM,Ledner-Pfannerstill,gastransport,102.13 ,Thompson,UT,38.9999,-109.615,46,Surveyor  minerals,4/23/1987,47238da5b40d126c8abea40a857c7809,39.807313,-109.348294,0
12:34 AM,Stracke-Lemke,grocery,83.07 ,Conway,WA,48.34,-122.3456,85,Research officer  political party,9/1/1984,9b7a0619dcc5c572dc134f2827ed5a6b,48.682111,-122.719904,0
12:40 AM,Cummerata-Jones,gastransport,70.53 ,Athena,OR,45.8289,-118.4971,1302,Dealer,10/18/1976,7b91bd200c11c5cd24b43694e12b5bbc,46.043252,-117.962133,0
12:41 AM,Huel-Langworth,misc,177.57 ,Thompson,UT,38.9999,-109.615,46,Surveyor  minerals,4/23/1987,048dc7fc7ae8efd51f59f7176e6a8bd7,38.419431,-109.380252,0
12:46 AM,"Ferry, Lynch and Kautze",misc,2.76 ,San Jose,CA,37.3304,-121.7913,973849,Science writer,6/12/1955,70ca7fe41f09770d724a027152dcb9f0,37.548452,-121.536454,0
12:49 AM,"Little, Gutmann and Lynch",shopping,83.52 ,Ravenna,NE,41.0233,-98.9041,2202,Solicitor  Scotland,6/21/1974,5f7aafc802c8acb5924041bca310040f,40.992141,-98.831582,0
12:56 AM,"Swaniawski, Lowe and Robel",shopping,317.14 ,Parks,AZ,35.2563,-111.95,759,Geologist  engineering,3/28/1957,3fe3286b0ea3f8c8857ec2e3da17b853,35.268124,-112.682895,0
12:56 AM,"Reichert, Huels and Hoppe",shopping,113.40 ,Fort Washakie,WY,43.0048,-108.8964,1645,Freight forwarder,2/26/1976,9d660a18154a3ba5fe869f373c6f819c,42.868965,-108.50335,0
1:00 AM,Howe Lt,misc,218.71 ,Littleton,CO,39.5994,-105.0044,320420,Water engineer,7/31/1975,43204045928cb3449edc63078a75b48c,39.335171,-104.102882,0
1:02 AM,Wolf Inc,grocery,89.11 ,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,12/23/1974,1cb03ad950bab1ca74b02500644ec1ba,40.773306,-92.821257,0
1:04 AM,Vandervort-Funk,grocery,50.68 ,Moab,UT,38.5677,-109.5271,9772,Location manager,11/24/1989,61861370b5c31b9c00fd949124944d7a,38.482541,-108.853856,0
1:09 AM,Ledner-Pfannerstill,gastransport,90.54 ,Hawthorne,CA,33.9143,-118.3493,93193,Editor  magazine features,4/19/1995,295b782f9fa48f76f508179ec6412f9d,32.990285,-117.836803,0
1:19 AM,"Schaefer, McGlynn and Bosco",gastransport,51.33 ,Manville,WY,42.73,-104.7024,241,Educational psychologist,12/16/1980,a8af4c635415817aaeea5cbbe380e010,42.508248,-105.34481,0
